time,qei_theta,qei_omega_filtered,qei_alpha_estimate,reference_position,reference_velocity,reference_acceleration
1336.24,0,0,0,0,0,0
1336.241,0,0,0,0,0,0
1336.242,0,0,0,0,0,0
1336.243,0,0,0,0,0,0
1336.244,0,0,0,0,0,0
1336.245,0,0,0,0,0,0
1336.246,0,0,0,0,0,0
1336.247,0,0,0,0,0,0
1336.248,0,0,0,0,0,0
1336.249,0,0,0,0,0,0
1336.25,0,0,0,0,0,0
1336.251,0,0,0,0,0,0
1336.252,0,0,0,0,0,0
1336.253,0,0,0,0,0,0
1336.254,0,0,0,0,0,0
1336.255,0,0,0,0,0,0
1336.256,0,0,0,0,0,0
1336.257,0,0,0,0,0,0
1336.258,0,0,0,0,0,0
1336.259,0,0,0,0,0,0
1336.26,0,0,0,0,0,0
1336.261,0,0,0,0,0,0
1336.262,0,0,0,0,0,0
1336.263,0,0,0,0,0,0
1336.264,0,0,0,0,0,0
1336.265,0,0,0,0,0,0
1336.266,0,0,0,0,0,0
1336.267,0,0,0,0,0,0
1336.268,0,0,0,0,0,0
1336.269,0,0,0,0,0,0
1336.27,0,0,0,0,0,0
1336.271,0,0,0,0,0,0
1336.272,0,0,0,0,0,0
1336.273,0,0,0,0,0,0
1336.274,0,0,0,0,0,0
1336.275,0,0,0,0,0,0
1336.276,0,0,0,0,0,0
1336.277,0,0,0,0,0,0
1336.278,0,0,0,0,0,0
1336.279,0,0,0,0,0,0
1336.28,0,0,0,0,0,0
1336.281,0,0,0,0,0,0
1336.282,0,0,0,0,0,0
1336.283,0,0,0,0,0,0
1336.284,0,0,0,0,0,0
1336.285,0,0,0,0,0,0
1336.286,0,0,0,0,0,0
1336.287,0,0,0,0,0,0
1336.288,0,0,0,0,0,0
1336.289,0,0,0,0,0,0
1336.29,0,0,0,0,0,0
1336.291,0,0,0,0,0,0
1336.292,0,0,0,0,0,0
1336.293,0,0,0,0,0,0
1336.294,0,0,0,0,0,0
1336.295,0,0,0,0,0,0
1336.296,0,0,0,0,0,0
1336.297,0,0,0,0,0,0
1336.298,0,0,0,0,0,0
1336.299,0,0,0,0,0,0
1336.3,0,0,0,0,0,0
1336.301,0,0,0,0,0,0
1336.302,0,0,0,0,0,0
1336.303,0,0,0,0,0,0
1336.304,0,0,0,0,0,0
1336.305,0,0,0,0,0,0
1336.306,0,0,0,0,0,0
1336.307,0,0,0,0,0,0
1336.308,0,0,0,0,0,0
1336.309,0,0,0,0,0,0
1336.31,0,0,0,0,0,0
1336.311,0,0,0,0,0,0
1336.312,0,0,0,0,0,0
1336.313,0,0,0,0,0,0
1336.314,0,0,0,0,0,0
1336.315,0,0,0,0,0,0
1336.316,0,0,0,0,0,0
1336.317,0,0,0,0,0,0
1336.318,0,0,0,0,0,0
1336.319,0,0,0,0,0,0
1336.32,0,0,0,0,0,0
1336.321,0,0,0,0,0,0
1336.322,0,0,0,0,0,0
1336.323,0,0,0,0,0,0
1336.324,0,0,0,0,0,0
1336.325,0,0,0,0,0,0
1336.326,0,0,0,0,0,0
1336.327,0,0,0,0,0,0
1336.328,0,0,0,0,0,0
